Size,Seq,Par,Libc
100, 0.000011, 0.017796, 0.000014
100, 0.000014, 0.018135, 0.000029
100, 0.000013, 0.020600, 0.000029
100, 0.000015, 0.020615, 0.000028
100, 0.000015, 0.020234, 0.000028
1000, 0.000106, 0.052364, 0.000157
1000, 0.000096, 0.049890, 0.000126
1000, 0.000098, 0.057537, 0.000181
1000, 0.000161, 0.053024, 0.000194
1000, 0.000253, 0.060438, 0.000215
10000, 0.001481, 0.105584, 0.001248
10000, 0.001180, 0.116030, 0.001338
10000, 0.001628, 0.119759, 0.001238
10000, 0.002477, 0.131143, 0.001261
10000, 0.001152, 0.122937, 0.001276
100000, 0.015167, 0.128474, 0.014214
100000, 0.019544, 0.150388, 0.014279
100000, 0.013149, 0.091825, 0.014313
100000, 0.013255, 0.122335, 0.014290
100000, 0.013333, 0.155229, 0.014351
1000000, 0.159956, 0.136276, 0.129418
1000000, 0.174537, 0.098349, 0.132351
1000000, 0.192294, 0.106034, 0.130094
1000000, 0.161067, 0.114020, 0.154484
1000000, 0.175519, 0.120446, 0.140086
10000000, 2.876859, 0.636419, 1.366649
10000000, 2.788230, 0.540353, 1.364669
10000000, 2.768379, 0.561146, 1.355989
10000000, 2.843463, 0.527953, 1.347604
10000000, 2.830272, 0.590978, 1.309656
